customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days
39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7498446400828587,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,young adult,90
40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,Credit Card,Monthly,senior,30
41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,senior,90
42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually,senior,365
43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15.0,PayPal,Annually,young adult,365
44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly,young adult,14
45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,adult,7
46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually,middle-aged,365
47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,middle-aged,90
48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly,middle-aged,7
49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly,adult,30
50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,senior,14
51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7498446400828587,Yes,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly,middle-aged,14
52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7.0,Credit Card,Quarterly,senior,90
53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly,adult,7
54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly,young adult,7
55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,middle-aged,14
56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,adult,365
57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46.0,Credit Card,Weekly,adult,7
58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,young adult,14
59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29.0,Venmo,Monthly,senior,30
60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly,senior,7
61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly,middle-aged,7
62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21.0,Credit Card,Every 3 Months,middle-aged,90
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31.0,Credit Card,Fortnightly,young adult,14
64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43.0,Credit Card,Weekly,adult,7
65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18.0,Debit Card,Fortnightly,senior,14
66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,senior,90
67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months,young adult,90
68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly,middle-aged,30
69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months,middle-aged,90
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5.0,Cash,Weekly,middle-aged,7
71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32.0,Debit Card,Every 3 Months,young adult,90
72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34.0,Bank Transfer,Annually,adult,365
73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months,young adult,90
74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly,middle-aged,14
75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3.0,Cash,Monthly,middle-aged,30
76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21.0,Credit Card,Annually,senior,365
77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32.0,Venmo,Monthly,middle-aged,30
78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly,young adult,14
79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly,middle-aged,14
80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months,adult,90
81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.7498446400828587,Yes,Store Pickup,Yes,Yes,24.0,Credit Card,Every 3 Months,young adult,90
82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36.0,Credit Card,Every 3 Months,senior,90
83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months,young adult,90
84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34.0,Bank Transfer,Weekly,adult,7
85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months,middle-aged,90
86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly,middle-aged,14
87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly,young adult,14
88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly,middle-aged,14
89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35.0,Credit Card,Monthly,adult,30
90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15.0,Cash,Quarterly,middle-aged,90
91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29.0,Credit Card,Monthly,young adult,30
92,44,Male,Scarf,Accessories,99.0,Montana,S,Green,Winter,3.7498446400828587,Yes,Standard,Yes,Yes,18.0,Credit Card,Every 3 Months,adult,90
93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months,senior,90
94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46.0,Credit Card,Weekly,adult,7
95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28.0,Credit Card,Weekly,senior,7
96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48.0,PayPal,Monthly,adult,30
97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.7498446400828587,Yes,Express,Yes,Yes,25.347012054372914,Venmo,Every 3 Months,adult,90
98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37.0,Cash,Annually,young adult,365
99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually,young adult,365
100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33.0,Debit Card,Quarterly,young adult,90
101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31.0,Cash,Fortnightly,senior,14
102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50.0,Credit Card,Bi-Weekly,young adult,14
103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Quarterly,middle-aged,90
104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly,middle-aged,14
105,55,Male,Blouse,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1.0,PayPal,Monthly,middle-aged,30
106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually,senior,365
107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31.0,Credit Card,Monthly,senior,30
108,28,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46.0,PayPal,Fortnightly,young adult,14
109,70,Male,Socks,Clothing,59.7683427398666,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32.0,Bank Transfer,Bi-Weekly,senior,14
110,58,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43.0,Bank Transfer,Fortnightly,senior,14
111,56,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26.0,Venmo,Fortnightly,middle-aged,14
112,26,Male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9.0,Credit Card,Annually,young adult,365
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28.0,PayPal,Bi-Weekly,adult,14
114,44,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20.0,PayPal,Quarterly,adult,90
115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9.0,Cash,Weekly,senior,7
116,53,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48.0,Debit Card,Every 3 Months,middle-aged,90
117,55,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12.0,Venmo,Annually,middle-aged,365
118,50,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29.0,Cash,Fortnightly,middle-aged,14
119,50,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly,middle-aged,14
120,38,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44.0,Cash,Annually,adult,365
121,64,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32.0,Bank Transfer,Annually,senior,365
122,19,Male,Shorts,Clothing,72.0,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11.0,Cash,Fortnightly,young adult,14
123,40,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly,adult,14
124,57,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46.0,Cash,Weekly,middle-aged,7
125,44,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50.0,PayPal,Annually,adult,365
126,49,Male,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months,middle-aged,90
127,43,Male,Shorts,Clothing,36.0,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months,adult,90
128,24,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26.0,Credit Card,Weekly,young adult,7
129,20,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21.0,Credit Card,Fortnightly,young adult,14
130,24,Male,Dress,Clothing,67.0,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49.0,PayPal,Bi-Weekly,young adult,14
131,44,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13.0,PayPal,Fortnightly,adult,14
132,28,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46.0,Credit Card,Weekly,young adult,7
133,30,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42.0,PayPal,Weekly,young adult,7
134,52,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25.0,Venmo,Annually,middle-aged,365
135,43,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25.0,Cash,Monthly,adult,30
136,43,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12.0,PayPal,Quarterly,adult,90
137,39,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4.0,Debit Card,Quarterly,adult,90
138,68,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38.0,PayPal,Weekly,senior,7
139,68,Male,Skirt,Clothing,29.0,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42.0,Bank Transfer,Weekly,senior,7
140,49,Male,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30.0,Venmo,Annually,middle-aged,365
141,63,Male,Shirt,Clothing,28.0,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50.0,Credit Card,Weekly,senior,7
142,56,Male,Gloves,Accessories,46.0,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,middle-aged,7
143,37,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33.0,Credit Card,Fortnightly,adult,14
144,30,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25.0,PayPal,Quarterly,young adult,90
145,19,Male,Shoes,Footwear,43.0,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25.0,Cash,Monthly,young adult,30
146,24,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44.0,Debit Card,Quarterly,young adult,90
147,52,Male,Skirt,Clothing,30.0,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,21.0,Venmo,Fortnightly,middle-aged,14
148,63,Male,Shoes,Footwear,64.0,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31.0,Bank Transfer,Fortnightly,senior,14
149,37,Male,Gloves,Accessories,90.0,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47.0,Debit Card,Annually,adult,365
150,38,Male,Pants,Clothing,76.0,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14.0,PayPal,Monthly,adult,30
151,35,Male,Boots,Footwear,96.0,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17.0,Debit Card,Every 3 Months,adult,90
152,28,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3.0,Venmo,Annually,young adult,365
153,30,Male,Shirt,Clothing,85.0,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42.0,Venmo,Annually,young adult,365
154,69,Male,Hoodie,Clothing,55.0,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22.0,Debit Card,Annually,senior,365
155,41,Male,Dress,Clothing,98.0,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21.0,Venmo,Quarterly,adult,90
156,63,Male,Socks,Clothing,77.0,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21.0,Bank Transfer,Quarterly,senior,90
157,35,Male,Shorts,Clothing,26.0,Missouri,M,Lavender,Fall,4.0,Yes,Standard,Yes,Yes,40.0,Debit Card,Annually,adult,365
158,36,Male,Hat,Accessories,68.0,Vermont,S,Yellow,Fall,3.0,Yes,Next Day Air,Yes,Yes,1.0,Bank Transfer,Fortnightly,adult,14
159,25,Male,Shirt,Clothing,73.0,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50.0,Bank Transfer,Monthly,young adult,30
160,58,Male,Gloves,Accessories,27.0,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39.0,Bank Transfer,Every 3 Months,senior,90
161,27,Male,Gloves,Accessories,23.0,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34.0,Venmo,Monthly,young adult,30
162,65,Male,Backpack,Accessories,49.0,North Dakota,M,Olive,Fall,3.0,Yes,Express,Yes,Yes,29.0,Venmo,Fortnightly,senior,14
163,54,Male,Sunglasses,Accessories,74.0,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,31.0,PayPal,Bi-Weekly,middle-aged,14
164,54,Male,Skirt,Clothing,67.0,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8.0,Debit Card,Weekly,middle-aged,7
165,59,Male,Handbag,Accessories,65.0,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5.0,Credit Card,Fortnightly,senior,14
166,42,Male,Handbag,Accessories,60.0,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7.0,Cash,Monthly,adult,30
167,46,Male,Sneakers,Footwear,31.0,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,Yes,Yes,30.0,Cash,Monthly,middle-aged,30
168,33,Male,Gloves,Accessories,27.0,Arkansas,M,Green,Fall,4.0,Yes,Express,Yes,No,14.0,Credit Card,Every 3 Months,adult,90
169,34,Male,Shoes,Footwear,80.0,Louisiana,M,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5.0,PayPal,Fortnightly,adult,14
170,27,Male,Jacket,Outerwear,30.0,Nevada,S,Olive,Summer,3.3,Yes,Standard,Yes,Yes,3.0,PayPal,Every 3 Months,young adult,90
